seed,octaves,frequency,sea_level,erosion_rate,deposition_rate,evaporation,inertia,capacity,droplet_life,erosion_iters,wind_angle,wind_strength,height_retention,elevation_variance,max_ridge_height,river_density,slope_variance,land_fraction
5736,6,4.20,0.49,0.368,0.454,0.0117,0.171,3.1,26,50000,239.0,1.91,0.7623,0.1378,0.0489,0.0000,0.0129,0.0008
9281,6,4.56,0.22,0.288,0.359,0.0292,0.346,3.6,39,50000,74.9,1.69,0.8075,0.1389,0.2765,0.0237,0.0078,0.3145
6191,7,2.40,0.31,0.396,0.164,0.0259,0.107,4.8,54,200000,96.0,1.39,0.2608,0.0593,0.0079,0.0000,0.0061,0.0001
2785,5,1.60,0.25,0.239,0.448,0.0175,0.136,1.1,64,200000,294.9,1.48,0.5532,0.1227,0.3601,0.0152,0.0183,0.1686
511,5,5.37,0.26,0.121,0.427,0.0081,0.155,7.2,34,10000,84.7,1.91,0.9149,0.1563,0.5116,0.0023,0.0325,0.3226
5718,5,1.64,0.32,0.393,0.449,0.0206,0.260,1.6,31,200000,336.8,0.82,0.5306,0.1300,0.2836,0.0049,0.0119,0.0997
7116,5,1.98,0.38,0.089,0.383,0.0293,0.073,1.3,28,50000,111.5,1.00,0.9121,0.1699,0.4082,0.0009,0.0280,0.1339
7990,5,3.77,0.32,0.070,0.653,0.0097,0.138,7.5,21,200000,116.8,1.44,0.1990,0.0623,0.0665,0.0000,0.0166,0.0031
3200,4,1.79,0.49,0.076,0.122,0.0407,0.174,6.3,66,10000,106.0,0.93,0.9567,0.1670,0.1907,0.0000,0.0229,0.0513
8303,4,1.61,0.36,0.053,0.608,0.0033,0.232,5.9,20,10000,52.9,1.55,0.9516,0.1647,0.4068,0.0037,0.0235,0.1633
1449,7,3.28,0.44,0.123,0.657,0.0399,0.146,1.6,50,10000,38.4,0.62,0.9812,0.1773,0.3923,0.0000,0.0352,0.1008
2779,5,4.92,0.21,0.256,0.290,0.0053,0.025,7.7,78,200000,121.0,1.09,0.0997,0.0283,-0.0293,0.0000,0.0064,0.0000
5984,6,2.20,0.39,0.044,0.748,0.0114,0.032,7.2,79,100000,8.6,1.95,0.6341,0.1254,0.3072,0.0000,0.0417,0.0452
4988,5,4.37,0.42,0.286,0.745,0.0190,0.033,4.1,61,50000,280.7,1.49,0.7986,0.1385,0.2943,0.0000,0.0230,0.0396
8747,6,1.73,0.26,0.015,0.176,0.0167,0.113,2.4,41,50000,77.6,1.20,0.9452,0.1844,0.5340,0.0150,0.0276,0.3047
1811,7,5.42,0.32,0.148,0.681,0.0040,0.045,6.4,66,50000,117.9,0.82,0.6860,0.1247,0.3359,0.0037,0.0253,0.1150
4143,7,5.19,0.25,0.352,0.376,0.0395,0.227,1.4,58,200000,2.6,1.55,0.5520,0.1264,0.2558,0.0209,0.0114,0.1894
9147,6,2.38,0.29,0.374,0.451,0.0122,0.091,6.2,55,50000,31.1,0.59,0.6693,0.1185,0.3328,0.0106,0.0180,0.1321
9490,6,2.95,0.23,0.330,0.610,0.0398,0.263,5.9,44,100000,133.5,0.57,0.5982,0.1091,0.2985,0.0160,0.0073,0.1788
8212,6,4.86,0.24,0.073,0.780,0.0286,0.136,7.4,47,200000,316.8,1.21,0.3460,0.0779,0.2019,0.0000,0.0121,0.0464
8261,7,1.74,0.40,0.138,0.686,0.0047,0.179,4.1,39,200000,92.7,1.92,0.3219,0.0766,0.0920,0.0000,0.0136,0.0013
